Bobby Thigpen,Baseball,Bowman,1989,306,,,2
Wes Gardner,Baseball,Bowman,1989,266,,,2
Bob Boone,Baseball,Bowman,1989,373,,,2
John Tudor,Baseball,Bowman,1989,188,,,2
Ed Romero,Baseball,Bowman,1989,361,,,2
Tom Herr,Baseball,Bowman,1989,159,,,2
Mike Henneman,Baseball,Bowman,1989,345,,,2
Frank Dipino,Baseball,Bowman,1989,187,,,2
Walt Weiss,Baseball,Bowman,1989,461,,,2
David Rohde,Baseball,Bowman,1989,75,,,2
Paul Coleman,Baseball,Bowman,1989,199,,,2
Mike Stanton,Baseball,Bowman,1989,4,,,2
Randy Johnson,Baseball,Bowman,1989,468,,,2
Steve Wapnick,Baseball,Bowman,1989,346,,,2
Frank Viola,Baseball,Bowman,1989,122,,,2
Mickey Pina,Baseball,Bowman,1989,270,,,2
Kal Daniels,Baseball,Bowman,1989,99,,,2
Andy Bezelek,Baseball,Bowman,1989,3,,,2
Dale Murphy,Baseball,Bowman,1989,19,,,2
Todd Zeile,Baseball,Bowman,1989,193,,,2
Chuck Finley,Baseball,Bowman,1989,289,,,2
Greg Swindell,Baseball,Bowman,1989,325,,,2
Von Hayes,Baseball,Bowman,1989,160,,,2
Kevin Romine,Baseball,Bowman,1989,273,,,2
Ed Sprague,Baseball,Bowman,1989,511,,,2
John Kruk,Baseball,Bowman,1989,154,,,2
Tom Henke,Baseball,Bowman,1989,506,,,2
Roger Clemens,Baseball,Bowman,1989,268,,,2
Ruben Sierra,Baseball,Bowman,1989,490,,,2
Doc Gooden,Baseball,Bowman,1989,126,,,2
Will Clark ,Baseball,Bowman,1990,NA,,Sweepstakes card,5
Will Clark ,Baseball,Bowman,1989,231,,,5
Ken Caminiti,Baseball,Donruss,1989,542,,,1
Dennis Lamp,Baseball,Donruss,1991,138,,,1
Mel Hall,Baseball,Donruss,1991,442,,,1
Kevin Bass,Baseball,Donruss,1991,630,,,1
Charlie,Baseball,Donruss,1991,562,,,1
Billy Hatcher,Baseball,Donruss,1991,763,,1990 World Series,1
Dwight Smith,Baseball,Donruss,1991,559,,,1
Will Clark,Baseball,Donruss,1991,86,,,1
Lance McCullery,Baseball,Donruss,1990,433,,,1
Bob MacDonald,Baseball,Donruss,1991,636,,,1
Mike Felder,Baseball,Donruss,1991,535,,,1
Chris Nabholz,Baseball,Donruss,1991,667,,,1
Matt Stark,Baseball,Donruss,1991,747,,,1
Darren Holmes,Baseball,Donruss,1991,669,,,1
Len Dykstra,Baseball,Donruss,1991,523,,,1
Dan Petry,Baseball,Donruss,1991,675,,,1
Carlos Quintana,Baseball,Donruss,1991,568,,,1
Carl Yastrzemski,Baseball,Donruss,1989,588,,Hall Of Fame,1
Dave Magadam,Baseball,Donruss,1990,17,,Diamond Kings,1
Frank White,Baseball,Donruss,1988,225,,,1
Kurt Stillwell,Baseball,Donruss,1990,24,,Diamond Kings,1
Edgar Martinez,Baseball,Donruss,1990,17,,Diamond Kings,1
Ramon Martinez,Baseball,Donruss,1990,15,,Diamond Kings,1
Pedro Guerrero,Baseball,Donruss,1990,25,,Diamond Kings,1
Chuck Finley,Baseball,Donruss,1990,26,,Diamond Kings,1
Jeff Schulz,Baseball,Donruss,1991,687,,,2
Phil Bradley,Baseball,Donruss,1991,646,,,2
Lance Blankenship,Baseball,Donruss,1991,701,,,2
Willie McGee,Baseball,Donruss,1991,666,,,2
Andy Hawkins,Baseball,Donruss,1991,611,,,2
Reggie Harris,Baseball,Donruss,1991,704,,,2
Larry Andersen,Baseball,Donruss,1991,665,,,2
Kevin Appier,Baseball,Donruss,1991,740,,,2
Fred Lynn,Baseball,Donruss,1991,673,,,2
Kent Mercker,Baseball,Donruss,1991,299,,,2
Marquis Grissom,Baseball,Donruss,1991,307,,,2
Scott Garrelts,Baseball,Donruss,1991,311,,,2
Greg Harris,Baseball,Donruss,1991,306,,,2
Terry Shumpert,Baseball,Donruss,1991,297,,,2
Trevor Wilson,Baseball,Donruss,1991,263,,,2
Doug Drabek,Baseball,Donruss,1991,269,,,2
Dennis Eckersley,Baseball,Donruss,1991,270,,,2
Sid Fernandez,Baseball,Donruss,1991,97,,,2
Bret Saberhagen,Baseball,Donruss,1991,88,,,2
Wayne Edwards,Baseball,Donruss,1991,327,,,2
Jimmy Key,Baseball,Donruss,1991,98,,,2
Darren Daulton,Baseball,Donruss,1991,316,,,2
Robin Venura,Baseball,Donruss,1991,315,,,2
Alan Mills,Baseball,Donruss,1991,338,,,2
Francisco Cabrera,Baseball,Donruss,1991,341,,,2
Jose Rijo,Baseball,Donruss,1991,722,,,2
Herm Winningham,Baseball,Donruss,1991,695,,,2
Chris Hammond,Baseball,Donruss,1991,759,,,2
Jim Neidlinger,Baseball,Donruss,1991,713,,,2
Carlos Hernandez,Baseball,Donruss,1991,711,,,2
John Wetteland,Baseball,Donruss,1991,614,,,2
Jimmy Poole,Baseball,Donruss,1991,655,,,2
Dennis Cook ,Baseball,Donruss,1991,657,,,2
Jose Vizcaino,Baseball,Donruss,1991,724,,,2
Darren Holmes,Baseball,Donruss,1991,669,,,2
Joe Boever,Baseball,Donruss,1991,578,,,2
Jason Grimsley,Baseball,Donruss,1991,653,,,2
Chuck McElroy,Baseball,Donruss,1991,709,,,2
Tommy Greene,Baseball,Donruss,1991,635,,,2
Gernimo Pena,Baseball,Donruss,1991,712,,,2
Rex Hudler,Baseball,Donruss,1991,599,,,2
Mike Perez,Baseball,Donruss,1991,615,,,2
Felix Jose,Baseball,Donruss,1991,656,,,2
Craig Wilson,Baseball,Donruss,1991,544,,,2
Ken Hill,Baseball,Donruss,1991,670,,,2
Otis Nixon,Baseball,Donruss,1991,626,,,2
Mel Rojas,Baseball,Donruss,1991,681,,,2
Howard Farmer,Baseball,Donruss,1991,734,,,2
Scott Ruskin,Baseball,Donruss,1991,612,,,2
Chris Nabholz,Baseball,Donruss,1991,667,,,2
John Smiley,Baseball,Donruss,1991,664,,,2
Ted Power,Baseball,Donruss,1991,608,,,2
Doug Drabek,Baseball,Donruss,1991,750,,Award Winner,2
Sid Bream,Baseball,Donruss,1991,644,,,2
Stan Belinda,Baseball,Donruss,1991,699,,,2
Garry Redus,Baseball,Donruss,1991,587,,,2
Charlie O/Brien,Baseball,Donruss,1991,623,,,2
Alejandro Pena,Baseball,Donruss,1991,566,,,2
Todd Hundley,Baseball,Donruss,1991,641,,,2
Dave Clark,Baseball,Donruss,1991,616,,,2
Damon Berryhill,Baseball,Donruss,1991,631,,,2
Doug Dascenzo,Baseball,Donruss,1991,749,,,2
Damon Berryhill,Baseball,Donruss,1991,631,,,2
Garry Varsho,Baseball,Donruss,1991,671,,,2
Danny Jackson,Baseball,Donruss,1991,678,,,2
Paul Sorrento,Baseball,Donruss,1991,745,,,2
Paul Abbott,Baseball,Donruss,1991,639,,,2
Junior Ortiz,Baseball,Donruss,1991,659,,,2
Tim Drummond,Baseball,Donruss,1991,694,,,2
Brian Harper,Baseball,Donruss,1991,582,,,2
John Orton ,Baseball,Donruss,1991,714,,,2
Bill Pecota,Baseball,Donruss,1991,672,,,2
Brent Knackert,Baseball,Donruss,1991,662,,,2
Eric Plunk,Baseball,Donruss,1991,593,,,2
Joe Bitker,Baseball,Donruss,1991,624,,,2
Greg Brock,Baseball,Donruss,1991,572,,,2
Brent Mayne,Baseball,Donruss,1991,617,,,2
Mike Marshall,Baseball,Donruss,1991,625,,,2
Jerry Don Gleaton,Baseball,Donruss,1991,661,,,2
Ron Kittle,Baseball,Donruss,1991,613,,,2
Mike Fetters,Baseball,Donruss,1991,565,,,2
Kevin Mitchell,Baseball,Donruss,1991,438,,All Star,2
Don Mattingly,Baseball,Donruss,1991,107,,,2
Steve Sax,Baseball,Donruss,1991,163,,,2
Chuck Crim ,Baseball,Donruss,1991,684,,,2
Jim Gantner,Baseball,Donruss,1991,703,,,2
John Mitchell,Baseball,Donruss,1991,710,,,2
Brady Anderson,Baseball,Donruss,1991,668,,,2
Tim Hulett,Baseball,Donruss,1991,706,,,2
Xavier Hernandez,Baseball,Donruss,1991,708,,,2
Javier Ortiz,Baseball,Donruss,1991,643,,,2
Alex Fernandez,Baseball,Donruss,1991,59,,,2
Mike Boddicker,Baseball,Donruss,1991,680,,,2
Luis Sojo,Baseball,Donruss,1991,579,,,2
